"INSEE","NOM_COMM","area","RANG","TYPE_LIEU","year_pop","pop","system","residus","neg_pos"
"02722","SOISSONS",110.1534,19,"Ville","POP1836",8424,"complet sans Paris",0.0991981304090605,"Moins dense"
"59571","SOLESMES",72.619,33,"Ville","POP1836",4997,"complet sans Paris",0.058887422280886,"Moins dense"
"60623","SONGEONS",29.6665,95,"Bourg","POP1836",1072,"complet sans Paris",0.0846277405679655,"Moins dense"
"59580","STEENVOORDE",20.1077,127,"Bourg","POP1836",4023,"complet sans Paris",-0.440415296263335,"Plus dense"
"59599","TOURCOING",75.5788,32,"Ville","POP1836",19966,"complet sans Paris",-0.296784225577056,"Plus dense"
"59606","VALENCIENNES",116.1206,17,"Ville","POP1836",19499,"complet sans Paris",-0.103901439887757,"Plus dense"
"60667","VERBERIE",35.4756,79,"Bourg","POP1836",1322,"complet sans Paris",0.105842281901708,"Moins dense"
"02785","VERMAND",37.5516,73,"Bourg","POP1836",1277,"complet sans Paris",0.139867142378536,"Moins dense"
"02789","VERVINS",53.2172,46,"Ville","POP1836",2571,"complet sans Paris",0.102845218888218,"Moins dense"
"02795","VIC-SUR-AISNE",24.2509,118,"Bourg","POP1836",700,"complet sans Paris",0.111861797530695,"Moins dense"
"02810","VILLERS-COTTERETS",39.7338,66,"Ville","POP1836",2692,"complet sans Paris",-0.0364312988460368,"Plus dense"
"59663","WORMHOUT",18.7968,132,"Bourg","POP1836",3895,"complet sans Paris",-0.460986428778592,"Plus dense"
